id,active,category,code,note,score,unit,version,name
itb_dupak_standard_IV_D_2,TRUE,project,IV.D.2,,1,program,0,Memberi pelayanan kepada masyarakat atau kegiatan lain yang menunjang pelaksanaan tugas umum pemerintahan dan pembangunan berdasarkan penugasan PT
itb_dupak_standard_IV_D_3,TRUE,project,IV.D.3,,0.5,program,0,Memberi pelayanan kepada masyarakat atau kegiatan lain yang menunjang pelaksanaan tugas umum pemerintahan dan pembangunan berdasarkan fungsi jabatan
itb_dupak_standard_IV_E,TRUE,publication,IV.E,,3,karya,0,Membuat/menulis karya pengabdian pada masyarakat yang tidak dipublikasikan
itb_dupak_standard_V_A_1,TRUE,duty,V.A.1,,3,tahun,0,Sebagai Ketua/Wakil Ketua dalam suatu Panitia/Badan pada Perguruan Tinggi
itb_dupak_standard_V_A_2,TRUE,duty,V.A.2,,2,tahun,0,Sebagai anggota dalam suatu Panitia/Badan pada Perguruan Tinggi
itb_dupak_standard_V_B_1_a,TRUE,duty,V.B.1.a,,3,kepanitiaan,0,Ketua/Wakil Ketua Panitian pada lembaga pemerintah pusat
itb_dupak_standard_V_B_1_b,TRUE,duty,V.B.1.b,,2,kepanitiaan,0,Anggota Panitia pada lembaga pemerintah pusat
itb_dupak_standard_V_B_2_a,TRUE,duty,V.B.2.a,,2,kepanitiaan,0,Ketua/Wakil Ketua Panitia pada lembaga pemerintah Daerah
itb_dupak_standard_V_B_2_b,TRUE,duty,V.B.2.b,,1,kepanitiaan,0,Anggota Panitia pada lembaga pemerintah Daerah
itb_dupak_standard_V_C_1_a,TRUE,membership,V.C.1.a,,2,periode jabatan,0,Pengurus organisasi profesi dosen tingkat internasional
itb_dupak_standard_V_C_1_b,TRUE,membership,V.C.1.b,,1,periode jabatan,0,Anggota atas permintaan organisasi profesi dosen tingkat internasional
itb_dupak_standard_V_C_1_c,TRUE,membership,V.C.1.c,,1,periode jabatan,0,Anggota organisasi profesi dosen tingkat internasional
itb_dupak_standard_V_C_2_a,TRUE,membership,V.C.2.a,,1.5,periode jabatan,0,Pengurus organisasi profesi dosen tingkat nasional
itb_dupak_standard_V_C_2_b,TRUE,membership,V.C.2.b,,1,periode jabatan,0,Anggota atas permintaan organisasi profesi dosen tingkat nasional
itb_dupak_standard_V_C_2_c,TRUE,membership,V.C.2.c,,0.5,periode jabatan,0,Anggota organisasi profesi dosen tingkat nasional
itb_dupak_standard_V_D,TRUE,duty,V.D,,1,kepanitiaan,0,Mewakili Perguruan Tinggi/Lembaga Pemerintah duduk dalam panitia antar lembaga
itb_dupak_standard_V_E_1,TRUE,duty,V.E.1,,3,kegiatan,0,Menjadi ketua delegasi nasional ke pertemuan internasional
itb_dupak_standard_V_E_2,TRUE,duty,V.E.2,,2,kegiatan,0,Menjadi anggota delegasi nasional ke pertemuan internasional
itb_dupak_standard_V_F_1_a,TRUE,duty,V.F.1.a,,3,kegiatan,0,ketua pertemuan ilmiah tingkat internasional/nasional/regional
itb_dupak_standard_V_F_1_b,TRUE,duty,V.F.1.b,,2,kegiatan,0,anggota pertemuan ilmiah tingkat internasional/nasional/regional
itb_dupak_standard_V_F_2_a,TRUE,duty,V.F.2.a,,2,kegiatan,0,ketua pertemuan ilmiah tingkat PT sendiri
itb_dupak_standard_V_F_2_b,TRUE,duty,V.F.2.b,,1,kegiatan,0,anggota pertemuan ilmiah tingkat PT sendiri
itb_dupak_standard_V_G_1_a,TRUE,award,V.G.1.a,,3,tanda jasa,0,satyalancana karya satya 30 tahun
itb_dupak_standard_V_G_1_b,TRUE,award,V.G.1.b,,2,tanda jasa,0,satyalancana karya satya 20 tahun
itb_dupak_standard_V_G_1_c,TRUE,award,V.G.1.c,,1,tanda jasa,0,satyalancana karya satya 10 tahun
itb_dupak_standard_V_G_2_a,TRUE,award,V.G.2.a,,5,tanda jasa,0,penghargaan lainnya tingkat internasional
itb_dupak_standard_V_G_2_b,TRUE,award,V.G.2.b,,3,tanda jasa,0,penghargaan lainnya tingkat nasional
